id,meigara,code,uriagetuuki1,uriagetuuki2,riekituuki1,riekituuki2,epstuuki1,epstuuki2,uriageshihanki1,uriageshihanki2,uriageshihanki3,riekishihanki1,riekishihanki2,riekishihanki3,epsshihanki1,epsshihanki2,epsshihanki3
3554,ロジコム,8945,102.19,107.09,89.53,118.34,80.2,121.24,0.0,101.53,96.02,0.0,134.88,73.24,0.0,142.3,40.63
3556,誠建設工業,8995,91.14,86.86,53.85,57.48,15.49,64.08,110.59,79.14,117.59,1200.0,65.71,-114.29,1141.56,62.87,462.99
3558,グランディハウス,8999,102.45,99.39,68.41,116.18,68.19,112.82,117.91,102.06,88.62,225.0,89.17,-21.56,239.59,94.88,-25.31
3559,東武鉄道,9001,105.88,108.43,93.1,100.98,127.28,78.55,81.27,74.27,62.55,11.38,-24.98,-64.59,5.47,-87.05,-114.57
3560,相鉄ホールディングス,9003,101.77,99.98,83.56,101.14,79.77,100.63,90.85,76.79,79.44,20.73,-17.57,-8.45,-0.85,-33.63,-30.44
3561,東京急行電鉄,9005,100.59,101.65,83.88,98.86,73.45,82.43,87.52,74.73,74.88,20.93,-21.59,-67.87,4.61,-44.57,-123.76
3562,京浜急行電鉄,9006,92.18,107.47,73.45,136.21,75.55,128.23,89.39,73.51,52.48,-15.14,-18.58,-100.28,-46.21,-136.78,-129.6
3563,小田急電鉄,9007,101.42,100.38,78.91,101.21,61.13,110.75,80.38,73.35,54.48,14.12,-39.62,-105.2,45.29,-64.92,-179.54
3564,京王電鉄,9008,96.91,102.95,89.88,104.0,65.69,113.88,82.3,71.4,55.25,11.27,-33.42,-103.11,4.27,-36.74,-128.89
3565,京成電鉄,9009,105.06,102.56,89.6,105.06,78.0,111.0,79.37,78.43,66.01,0.78,-42.72,-79.77,-8.41,-44.4,-122.75
3566,富士急行,9010,96.02,103.51,72.71,116.72,76.33,78.17,85.42,56.06,25.91,192.27,3.62,-250.5,-452.52,4.34,-321.05
3567,秩父鉄道,9012,104.47,96.75,297.26,28.52,-215.2,64.25,84.36,74.96,53.19,-62.5,-179.03,-403.09,-4.58,-680.52,-586.07
3568,新京成電鉄,9014,99.33,98.25,86.77,96.64,87.87,99.56,86.18,83.54,71.1,14.99,20.69,-39.54,-43.02,-4.9,-35.16
3569,新潟交通,9017,94.16,99.51,71.19,90.38,71.57,81.74,84.73,72.81,52.65,25.0,-23.84,-276.71,76.62,-15.67,-386.64
